GEMS Station Number,Historical GEMS Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
NLD00075,,NL13_ROP09412,Netherlands (the),Lake station,ROP09412,,,,,,TREND,2009-01-01,,52.15297,4.79542,,,,8.2,,,,,,,
NLD00228,,NL11_TUSSENBOEZEMA,Netherlands (the),Lake station,TUSSENBOEZEM VINKEVEEN A,,,,,-2,TREND,NaT,European Environment Agency,52.2066,4.9375,,,,,,,,,,,
NLD00074,,NL13_ROP0931A,Netherlands (the),Lake station,ROP0931A,,,,,,TREND,2009-01-01,,52.15964,4.72882,,,,0.33,,,,,,,
NLD00090,,NL14_20932,Netherlands (the),Lake station,20932,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.00357,4.79104,,,,0.11,,,,,,,
NLD00089,,NL14_20910,Netherlands (the),Lake station,20910,,,,,,TREND,2009-01-01,,52.05448,5.1014,,,,0.08,,,,,,,
NLD00088,,NL13_ROP30614,Netherlands (the),Lake station,ROP30614,,,,,,TREND,2009-01-01,,52.41158,4.73277,,,,0.06,,,,,,,
NLD00227,,NL11_TERRANOVA,Netherlands (the),Lake station,TERRA NOVA,,,,,0,TREND,NaT,European Environment Agency,52.2177,5.0406,,,,,,,,,,,
NLD00087,,NL13_ROP24213,Netherlands (the),Lake station,ROP24213,,,,,,TREND,2009-01-01,,52.11732,4.54647,,,,0.33,,,,,,,
NLD00226,,NL11_STICHTSANKEVEEN,Netherlands (the),Lake station,STICHTSE ANKEVEENSE PLASSEN,,,,,-1,TREND,NaT,European Environment Agency,52.2695,5.0818,,,,,,,,,,,
NLD00225,,NL11_STERENZODDEN,Netherlands (the),Lake station,STER EN ZODDEN,,,,,2,TREND,NaT,European Environment Agency,52.1977,5.1039,,,,,,,,,,,
NLD00093,,NL15_OW043-002,Netherlands (the),Lake station,OW043-002,,,,,,TREND,2009-01-01,,52.08235,4.27608,,,,0.16,,,,,,,
NLD00224,,NL11_SPIEGELPLAS,Netherlands (the),Lake station,SPIEGELPLAS,,,,,-1,TREND,NaT,European Environment Agency,52.2684,5.0591,,,,,,,,,,,
NLD00223,,NL11_OUDERKERKERPLAS,Netherlands (the),Lake station,OUDERKERKERPLAS,,,,,-4,TREND,NaT,European Environment Agency,52.2902,4.9307,,,,,,,,,,,
NLD00092,,NL15_OW021-003,Netherlands (the),Lake station,OW021-003,,,RHINE-MEUSE,,,TREND,2009-01-01,,51.92358,4.28091,,,,0.25,,,,,,,
NLD00222,,NL11_NOORDERIJPLAS,Netherlands (the),Lake station,NOORDER IJPLAS,,,,,0,TREND,NaT,European Environment Agency,52.4241,4.8642,,,,,,,,,,,
NLD00091,,NL15_OW004-001,Netherlands (the),Lake station,OW004-001,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.0107,4.2987,,,,0.25,,,,,,,
NLD00343,,NL37_00535KRW,Netherlands (the),Lake station,TOCHTEN J,,,VECHT,,-5,TREND,NaT,European Environment Agency,52.5709,5.6939,,,,,,,,,,,
NLD00344,,NL37_00540KRW,Netherlands (the),Lake station,TOCHTEN H,,,,,-5,TREND,NaT,European Environment Agency,52.5033,5.5906,,,,,,,,,,,
NLD00345,,NL37_00541KRW,Netherlands (the),Lake station,TOCHTEN H,,,,,-6,TREND,NaT,European Environment Agency,52.5227,5.5902,,,,,,,,,,,
NLD00346,,NL37_00586KRW,Netherlands (the),Lake station,TOCHTEN ABC1,,,,,-4,TREND,NaT,European Environment Agency,52.414,5.6726,,,,,,,,,,,
NLD00347,,NL37_ACV90KRW,Netherlands (the),Lake station,TOCHTEN LAGE AFDELING NOP,,,,,-4,TREND,NaT,European Environment Agency,52.7604,5.7505,,,,,,,,,,,
NLD00338,,NL34_4122,Netherlands (the),River station,REITDIEP KOMMERZIJL,,,,,0,TREND,NaT,European Environment Agency,53.3273,6.4254,,,,,,,,,,,
NLD00339,,NL34_5527,Netherlands (the),Lake station,PATERSWOLDSEMEER,,,,,-1,TREND,NaT,European Environment Agency,53.163,6.5778,,,,,,,,,,,
NLD00340,,NL37_00003KRW,Netherlands (the),Lake station,TOCHTEN FGIK,,,,,-6,TREND,NaT,European Environment Agency,52.4255,5.421,,,,,,,,,,,
NLD00341,,NL37_00524KRW,Netherlands (the),Lake station,VAARTEN HOGE AFDELING ZOF,,,,,-2,TREND,NaT,European Environment Agency,52.3715,5.6133,,,,,,,,,,,
NLD00342,,NL37_00532KRW,Netherlands (the),Lake station,VAARTEN LAGE AFDELING ZOF,,,VECHT,,-3,TREND,NaT,European Environment Agency,52.5751,5.7519,,,,,,,,,,,
NLD00221,,NL11_NAARDERMEER,Netherlands (the),Lake station,NAARDERMEER,,,,,-1,TREND,NaT,European Environment Agency,52.2989,5.1193,,,,,,,,,,,
NLD00220,,NL11_HOLLANDSANKEVEEN,Netherlands (the),Lake station,HOLLANDS ANKEVEENSE PLASSEN,,,,,-1,TREND,NaT,European Environment Agency,52.2731,5.091,,,,,,,,,,,
NLD00219,,NL11_GROTEMAARSSEVEENSEP,Netherlands (the),Lake station,GROTE MAARSSEVEENSE PLAS,,,,,-1,TREND,NaT,European Environment Agency,52.1414,5.0876,,,,,,,,,,,
NLD00218,,NL11_BOTSHOL,Netherlands (the),Lake station,BOTSHOL,,,,,-3,TREND,NaT,European Environment Agency,52.2506,4.9242,,,,,,,,,,,
NLD00086,,NL13_ROP21706,Netherlands (the),Lake station,ROP21706,,,,,,TREND,2009-01-01,,52.29861,4.83893,,,,0.77,,,,,,,
NLD00085,,NL13_ROP18068,Netherlands (the),Lake station,ROP18068,,,,,,TREND,2009-01-01,,52.34651,4.75147,,,,1.46,,,,,,,
NLD00084,,NL13_ROP16911,Netherlands (the),Lake station,ROP16911,,,,,,TREND,2009-01-01,,52.13086,4.70515,,,,0.15,,,,,,,
NLD00174,,NL05_20_092,Netherlands (the),River station,BOVEN REGGE,,,VECHT,,12,TREND,NaT,European Environment Agency,52.2069,6.5441,,,,,,,,,,,
NLD00417,,NL43_289880KRW,Netherlands (the),Lake station,NOORDERWETERING,,,,,-1,TREND,NaT,European Environment Agency,52.2593,5.3474,,,,,,,,,,,
NLD00296,,NL25_790401,Netherlands (the),Lake station,TONNEKREEK COMPLEX,,,RHINE-MEUSE,,-4,TREND,NaT,European Environment Agency,51.6786,4.4924,,,,,,,,,,,
NLD00173,,NL05_20_090,Netherlands (the),River station,AZELERBEEK,,,VECHT,,25,TREND,NaT,European Environment Agency,52.2195,6.7739,,,,,,,,,,,
NLD00297,,NL25_820001,Netherlands (the),Lake station,MARKIEZAATSMEER,,,,,-9999,TREND,NaT,European Environment Agency,51.4739,4.2439,,,,,,,,,,,
NLD00172,,NL05_20_074,Netherlands (the),River station,HAGMOLENBEEK,,,VECHT,,22,TREND,NaT,European Environment Agency,52.216,6.723,,,,,,,,,,,
NLD00171,,NL05_20_020,Netherlands (the),River station,POELSBEEK,,,VECHT,,17,TREND,NaT,European Environment Agency,52.1778,6.6121,,,,,,,,,,,
NLD00170,,NL05_20_017,Netherlands (the),River station,HAGMOLENBEEK,,,VECHT,,32,TREND,NaT,European Environment Agency,52.1689,6.8116,,,,,,,,,,,
NLD00169,,NL05_16_020,Netherlands (the),River station,GAMMELKERBEEK,,,VECHT,,19,TREND,NaT,European Environment Agency,52.3156,6.8318,,,,,,,,,,,
NLD00168,,NL05_16_019,Netherlands (the),River station,OUDE BORNSCHEBEEK,,,VECHT,,15,TREND,NaT,European Environment Agency,52.312,6.8086,,,,,,,,,,,
NLD00409,,NL39_KOP1035,Netherlands (the),Lake station,DEN HOEK EN SCHUWACHT,,,RHINE-MEUSE,,-2,TREND,NaT,European Environment Agency,51.928,4.6209,,,,,,,,,,,
NLD00288,,NL13_RO017,Netherlands (the),Lake station,TREKVAARTSYSTEEM,,,,,-1,TREND,NaT,European Environment Agency,52.3136,4.5681,,,,,,,,,,,
NLD00410,,NL43_200090KRW,Netherlands (the),Lake station,APELDOORNS KANAAL,,,VECHT,,7,TREND,NaT,European Environment Agency,52.4429,6.0735,,,,,,,,,,,
NLD00289,,NL15_OW006-003,Netherlands (the),Lake station,BOEZEM WESTLAND,,,RHINE-MEUSE,,0,TREND,NaT,European Environment Agency,51.9595,4.1811,,,,,,,,,,,
NLD00290,,NL25_200001,Netherlands (the),River station,MARK EN VLIET,,,RHINE-MEUSE,,-1,TREND,NaT,European Environment Agency,51.6451,4.3914,,,,,,,,,,,
NLD00411,,NL43_221010KRW,Netherlands (the),Lake station,OUDE IJSSEL,,,VECHT,,6,TREND,NaT,European Environment Agency,52.1548,6.1422,,,,,,,,,,,
NLD00291,,NL25_203607,Netherlands (the),Lake station,MOLENKREEK COMPLEX,,,,,-2,TREND,NaT,European Environment Agency,51.6125,4.3824,,,,,,,,,,,
NLD00412,,NL43_222010KRW,Netherlands (the),River station,VOORSTERBEEK,,,VECHT,,13,TREND,NaT,European Environment Agency,52.1786,6.1397,,,,,,,,,,,
NLD00292,,NL25_310201,Netherlands (the),Lake station,LIGNE,,,,,-1,TREND,NaT,European Environment Agency,51.5784,4.3019,,,,,,,,,,,
NLD00413,,NL43_232020KRW,Netherlands (the),Lake station,WETERINGEN,,,VECHT,,1,TREND,NaT,European Environment Agency,52.4377,6.0905,,,,,,,,,,,
NLD00293,,NL25_390111,Netherlands (the),Lake station,CRUIJSLANDSE KREKEN,,,,,-2,TREND,NaT,European Environment Agency,51.5733,4.3829,,,,,,,,,,,
NLD00177,,NL05_32_200,Netherlands (the),River station,PUNTBEEK,,,VECHT,,31,TREND,NaT,European Environment Agency,52.3419,7.0551,,,,,,,,,,,
NLD00414,,NL43_240720KRW,Netherlands (the),Lake station,WATERGANGEN OOSTERWOLDE,,,VECHT,,0,TREND,NaT,European Environment Agency,52.516,5.8755,,,,,,,,,,,
NLD00415,,NL43_289775KRW,Netherlands (the),River station,EEM,,,,,-1,TREND,NaT,European Environment Agency,52.2546,5.3279,,,,,,,,,,,
NLD00294,,NL25_690505,Netherlands (the),Lake station,GAT VAN DEN HAM,,,RHINE-MEUSE,,0,TREND,NaT,European Environment Agency,51.7191,4.7422,,,,,,,,,,,
NLD00176,,NL05_21_001,Netherlands (the),Lake station,VEENELEIDING,,,VECHT,,14,TREND,NaT,European Environment Agency,52.3653,6.779,,,,,,,,,,,
NLD00175,,NL05_20_401,Netherlands (the),River station,AZELERBEEK,,,VECHT,,25,TREND,NaT,European Environment Agency,52.2041,6.7925,,,,,,,,,,,
NLD00416,,NL43_289776KRW,Netherlands (the),Lake station,HAARSE WETERING,,,,,-1,TREND,NaT,European Environment Agency,52.2249,5.3281,,,,,,,,,,,
NLD00295,,NL25_710202,Netherlands (the),Lake station,ROODE VAART,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.6765,4.6179,,,,,,,,,,,
NLD00408,,NL39_KOP0801,Netherlands (the),Lake station,BERGAMBACHT,,,RHINE-MEUSE,,0,TREND,NaT,European Environment Agency,51.9074,4.7432,,,,,,,,,,,
NLD00163,,NL05_07_301,Netherlands (the),River station,LINDERBEEK,,,VECHT,,5,TREND,NaT,European Environment Agency,52.4535,6.4865,,,,,,,,,,,
NLD00406,,NL39_KOP0427,Netherlands (the),Lake station,STOLWIJK,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.9836,4.673,,,,,,,,,,,
NLD00285,,NL12_BDV044,Netherlands (the),Lake station,WATERRIJK  T TWISKE,,,,,-1,TREND,NaT,European Environment Agency,52.4537,4.8892,,,,,,,,,,,
NLD00162,,NL05_06_304,Netherlands (the),River station,GEESTERSCHE MOLENBEEK,,,VECHT,,19,TREND,NaT,European Environment Agency,52.4366,6.7519,,,,,,,,,,,
NLD00407,,NL39_KOP0478,Netherlands (the),Lake station,SLOTEN WATERRIJK BERKENWOUDE,,,RHINE-MEUSE,,-2,TREND,NaT,European Environment Agency,51.9415,4.7028,,,,,,,,,,,
NLD00286,,NL12_BDV048,Netherlands (the),Lake station,WATERDELEN DUINGEBIED TEXEL,,,,,1,TREND,NaT,European Environment Agency,53.0022,4.7456,,,,,,,,,,,
NLD00161,,NL05_06_024,Netherlands (the),River station,BROEKBEEK,,,VECHT,,15,TREND,NaT,European Environment Agency,52.4463,6.7448,,,,,,,,,,,
NLD00287,,NL12_STHW25,Netherlands (the),Lake station,WATERRIJK HEERHUGOWAARD STAD VAN DE ZON,,,,,-3,TREND,NaT,European Environment Agency,52.6475,4.7987,,,,,,,,,,,
NLD00160,,NL05_06_020,Netherlands (the),River station,ITTERBEEK,,,VECHT,,16,TREND,NaT,European Environment Agency,52.4601,6.7331,,,,,,,,,,,
NLD00159,,NL05_06_011,Netherlands (the),Lake station,VEENELEIDING,,,VECHT,,13,TREND,NaT,European Environment Agency,52.4426,6.6608,,,,,,,,,,,
NLD00158,,NL05_03_022,Netherlands (the),River station,BOVEN REGGE,,,VECHT,,11,TREND,NaT,European Environment Agency,52.2231,6.5652,,,,,,,,,,,
NLD00398,,NL39_00144,Netherlands (the),Lake station,EENDRAGTSPOLDER ROEIBAAN,,,RHINE-MEUSE,,-7,TREND,NaT,European Environment Agency,52.0036,4.5641,,,,,,,,,,,
NLD00399,,NL39_00201,Netherlands (the),Lake station,BINNENWEGSE POLDER,,,RHINE-MEUSE,,-5,TREND,NaT,European Environment Agency,52.0452,4.5614,,,,,,,,,,,
NLD00278,,NL12_675114,Netherlands (the),Lake station,WATERDELEN POLDER VIER NOORDER KOGGEN  3 70,,,,,-1,TREND,NaT,European Environment Agency,52.7377,5.1446,,,,,,,,,,,
NLD00279,,NL12_675120,Netherlands (the),Lake station,WATERDELEN POLDER VIER NOORDER KOGGEN  3 70,,,,,-3,TREND,NaT,European Environment Agency,52.7223,5.1394,,,,,,,,,,,
NLD00400,,NL39_00609,Netherlands (the),Lake station,ZUIDPLASPOLDER NOORD,,,RHINE-MEUSE,,-4,TREND,NaT,European Environment Agency,52.0241,4.6647,,,,,,,,,,,
NLD00401,,NL39_00708,Netherlands (the),Lake station,T WEEGJE,,,RHINE-MEUSE,,-2,TREND,NaT,European Environment Agency,52.0158,4.6679,,,,,,,,,,,
NLD00280,,NL12_770104,Netherlands (the),Lake station,WATERDELEN WIERINGERMEER WEST,,,,,0,TREND,NaT,European Environment Agency,52.9209,5.038,,,,,,,,,,,
NLD00167,,NL05_16_005,Netherlands (the),River station,OUDE BORNSCHEBEEK,,,VECHT,,15,TREND,NaT,European Environment Agency,52.311,6.7646,,,,,,,,,,,
NLD00402,,NL39_00801,Netherlands (the),Lake station,POLDER PRINS ALEXANDER,,,RHINE-MEUSE,,-3,TREND,NaT,European Environment Agency,51.9498,4.6017,,,,,,,,,,,
NLD00281,,NL12_770202,Netherlands (the),Lake station,WATERDELEN WIERINGERMEER WEST,,,,,-4,TREND,NaT,European Environment Agency,52.8329,4.9747,,,,,,,,,,,
NLD00166,,NL05_15_401,Netherlands (the),River station,BORNSEBEEK,,,VECHT,,14,TREND,NaT,European Environment Agency,52.31,6.7466,,,,,,,,,,,
NLD00403,,NL39_01201,Netherlands (the),Lake station,POLDER BLEISWIJK,,,RHINE-MEUSE,,-3,TREND,NaT,European Environment Agency,51.9887,4.546,,,,,,,,,,,
NLD00282,,NL12_770305,Netherlands (the),Lake station,WATERDELEN WIERINGERMEER OOST,,,,,-4,TREND,NaT,European Environment Agency,52.9,5.0369,,,,,,,,,,,
NLD00165,,NL05_15_016,Netherlands (the),River station,BORNSEBEEK,,,VECHT,,14,TREND,NaT,European Environment Agency,52.2839,6.7566,,,,,,,,,,,
NLD00404,,NL39_KOP0109,Netherlands (the),Lake station,KRIMPEN AAN DEN IJSSEL,,,RHINE-MEUSE,,0,TREND,NaT,European Environment Agency,51.9232,4.6213,,,,,,,,,,,
NLD00283,,NL12_802004,Netherlands (the),Lake station,WATERDELEN GEMEENSCHAPPELIJKE POLDERS,,,,,-1,TREND,NaT,European Environment Agency,53.0651,4.8632,,,,,,,,,,,
NLD00405,,NL39_KOP0222,Netherlands (the),Lake station,KROMME  GEER EN ZIJDE,,,RHINE-MEUSE,,-3,TREND,NaT,European Environment Agency,51.9167,4.6611,,,,,,,,,,,
NLD00164,,NL05_09_015,Netherlands (the),River station,MARKGRAVEN,,,VECHT,,16,TREND,NaT,European Environment Agency,52.4062,6.7446,,,,,,,,,,,
NLD00284,,NL12_804006,Netherlands (the),Lake station,WATERDELEN POLDER EIJERLAND,,,,,0,TREND,NaT,European Environment Agency,53.1471,4.8616,,,,,,,,,,,
NLD00196,,NL07_ELB01,Netherlands (the),River station,NIEUWE WATERLEIDING,,,VECHT,,15,TREND,NaT,European Environment Agency,52.182,6.5845,,,,,,,,,,,
NLD00195,,NL07_DOO01,Netherlands (the),Lake station,DORTHERBEEK OOST,,,VECHT,,10,TREND,NaT,European Environment Agency,52.2437,6.3551,,,,,,,,,,,
NLD00194,,NL07_DOB01,Netherlands (the),Lake station,DORTHERBEEK,,,VECHT,,7,TREND,NaT,European Environment Agency,52.2352,6.2028,,,,,,,,,,,
NLD00193,,NL07_DMB01,Netherlands (the),River station,DOMMERBEEK,,,VECHT,,7,TREND,NaT,European Environment Agency,52.21,6.1969,,,,,,,,,,,
NLD00192,,NL07_DIW02,Netherlands (the),Lake station,DIDAMSE WETERING,,,VECHT,,8,TREND,NaT,European Environment Agency,51.9911,6.1577,,,,,,,,,,,
NLD00191,,NL07_BUB01,Netherlands (the),River station,BUURSERBEEK,,,VECHT,,38,TREND,NaT,European Environment Agency,52.1394,6.8501,,,,,,,,,,,
NLD00190,,NL07_BSB01,Netherlands (the),River station,BERGERSLAGBEEK,,,VECHT,,13,TREND,NaT,European Environment Agency,51.901,6.3897,,,,,,,,,,,
NLD00189,,NL07_BHB02,Netherlands (the),River station,BIELHEIMERBEEK,,,VECHT,,11,TREND,NaT,European Environment Agency,51.9351,6.3208,,,,,,,,,,,
NLD00310,,NL27_240113,Netherlands (the),River station,NIEUWE LEIJ EN POP L EN ROV L EN VOORSTE STROOM,,,RHINE-MEUSE,,21,TREND,NaT,European Environment Agency,51.4872,5.0332,,,,,,,,,,,
NLD00311,,NL27_240116,Netherlands (the),River station,NIEUWE LEIJ EN POP L EN ROV L EN VOORSTE STROOM,,,RHINE-MEUSE,,12,TREND,NaT,European Environment Agency,51.5485,5.113,,,,,,,,,,,
NLD00312,,NL27_240129,Netherlands (the),Lake station,BROEKLEIJ,,,RHINE-MEUSE,,10,TREND,NaT,European Environment Agency,51.6561,5.254,,,,,,,,,,,
NLD00313,,NL27_244151,Netherlands (the),Lake station,BEATRIXKANAAL,,,RHINE-MEUSE,,22,TREND,NaT,European Environment Agency,51.4605,5.3979,,,,,,,,,,,
NLD00314,,NL27_244171,Netherlands (the),Lake station,EINDHOVENS KANAAL,,,RHINE-MEUSE,,20,TREND,NaT,European Environment Agency,51.4317,5.5409,,,,,,,,,,,
NLD00315,,NL27_245565,Netherlands (the),Lake station,BEEKSE BERGEN,,,RHINE-MEUSE,,14,TREND,NaT,European Environment Agency,51.5261,5.1256,,,,,,,,,,,
NLD00316,,NL33_1103,Netherlands (the),River station,WESTERWOLDSE AA NOORD,,,EMS,,-1,TREND,NaT,European Environment Agency,53.2319,7.2076,,,,,,,,,,,
NLD00197,,NL07_GRB02,Netherlands (the),River station,GROTE BEEK,,,VECHT,,5,TREND,NaT,European Environment Agency,52.0702,6.1769,,,,,,,,,,,
NLD00317,,NL33_1104,Netherlands (the),Lake station,KANALEN WESTERWOLDE,,,EMS,,1,TREND,NaT,European Environment Agency,53.057,7.1264,,,,,,,,,,,
NLD00308,,NL27_240091,Netherlands (the),River station,ROSEP,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.588,5.2441,,,,,,,,,,,
NLD00309,,NL27_240105,Netherlands (the),River station,REUSEL EN RAAMSLOOP EN ACHTERSTE STROOM,,,RHINE-MEUSE,,12,TREND,NaT,European Environment Agency,51.568,5.1947,,,,,,,,,,,
NLD00188,,NL07_BAV00,Netherlands (the),Lake station,BARCHEMSE VEENGOOT,,,VECHT,,16,TREND,NaT,European Environment Agency,52.1499,6.3949,,,,,,,,,,,
NLD00307,,NL27_240063,Netherlands (the),River station,EKKERSRIJT,,,RHINE-MEUSE,,16,TREND,NaT,European Environment Agency,51.508,5.4917,,,,,,,,,,,
